base_addr=0x00002000 byte_count=1984
idx addr byte ascii
923 0x0000239b 4c L
924 0x0000239c 99 .
925 0x0000239d 29 )
926 0x0000239e 35 5
927 0x0000239f 78 x
928 0x000023a0 e5 .
929 0x000023a1 66 f
930 0x000023a2 e0 .
931 0x000023a3 94 .
932 0x000023a4 9c .
933 0x000023a5 91 .
934 0x000023a6 15 .
935 0x000023a7 e8 .
936 0x000023a8 cd .
937 0x000023a9 06 .
938 0x000023aa f4 .
939 0x000023ab 64 d
940 0x000023ac 0f .
941 0x000023ad f8 .
942 0x000023ae 82 .
943 0x000023af 78 x
944 0x000023b0 88 .
945 0x000023b1 02 .
946 0x000023b2 01 .
947 0x000023b3 09 .
948 0x000023b4 33 3
949 0x000023b5 85 .
950 0x000023b6 a6 .
951 0x000023b7 d8 .
952 0x000023b8 90 .
953 0x000023b9 9b .
954 0x000023ba 81 .
955 0x000023bb 43 C
956 0x000023bc 72 r
957 0x000023bd c6 .
958 0x000023be 9b .
959 0x000023bf 78 x
960 0x000023c0 1e .
961 0x000023c1 90 .
962 0x000023c2 9d .
963 0x000023c3 06 .
964 0x000023c4 c8 .
965 0x000023c5 9f .
966 0x000023c6 2e .
967 0x000023c7 20  
968 0x000023c8 88 .
969 0x000023c9 28 (
970 0x000023ca 10 .
971 0x000023cb 90 .
972 0x000023cc 10 .
973 0x000023cd 53 S
974 0x000023ce 64 d
975 0x000023cf 78 x
976 0x000023d0 ca .
977 0x000023d1 0c .
978 0x000023d2 b9 .
979 0x000023d3 19 .
980 0x000023d4 38 8
981 0x000023d5 24 $
982 0x000023d6 67 g
983 0x000023d7 dc .
984 0x000023d8 9b .
985 0x000023d9 16 .
986 0x000023da c8 .
987 0x000023db 9f .
988 0x000023dc 1e .
989 0x000023dd 90 .
990 0x000023de 9d .
991 0x000023df 78 x
992 0x000023e0 06 .
993 0x000023e1 08 .
994 0x000023e2 22 "
995 0x000023e3 0a .
996 0x000023e4 04 .
997 0x000023e5 24 $
998 0x000023e6 d0 .
999 0x000023e7 94 .
1000 0x000023e8 9a .
1001 0x000023e9 62 b
1002 0x000023ea 43 C
1003 0x000023eb 6e n
1004 0x000023ec 06 .
1005 0x000023ed 0e .
1006 0x000023ee c9 .
1007 0x000023ef 78 x
1008 0x000023f0 19 .
1009 0x000023f1 f2 .
1010 0x000023f2 a7 .
1011 0x000023f3 0b .
1012 0x000023f4 e4 .
1013 0x000023f5 a6 .
1014 0x000023f6 07 .
1015 0x000023f7 e4 .
1016 0x000023f8 4d M
1017 0x000023f9 0b .
1018 0x000023fa 82 .
1019 0x000023fb 88 .
1020 0x000023fc 02 .
1021 0x000023fd 01 .
1022 0x000023fe 09 .
1023 0x000023ff 78 x
1024 0x00002400 31 1
1025 0x00002401 a5 .
1026 0x00002402 a6 .
1027 0x00002403 d8 .
1028 0x00002404 90 .
1029 0x00002405 1b .
1030 0x00002406 82 .
1031 0x00002407 33 3
1032 0x00002408 72 r
1033 0x00002409 06 .
1034 0x0000240a f7 .
1035 0x0000240b a6 .
1036 0x0000240c 1f .
1037 0x0000240d 48 H
1038 0x0000240e a6 .
1039 0x0000240f 78 x
1040 0x00002410 07 .
1041 0x00002411 dc .
1042 0x00002412 4e N
1043 0x00002413 03 .
1044 0x00002414 41 A
1045 0x00002415 44 D
1046 0x00002416 81 .
1047 0x00002417 80 .
1048 0x00002418 04 .
1049 0x00002419 18 .
1050 0x0000241a 52 R
1051 0x0000241b 53 S
1052 0x0000241c 6c l
1053 0x0000241d ca .
1054 0x0000241e cd .
1055 0x0000241f 78 x
1056 0x00002420 c0 .
1057 0x00002421 21 !
1058 0x00002422 39 9
1059 0x00002423 03 .
